3897 | 4039 | NL7343 | LHI Running | 391
3898 | 3898 | LR3134 | KCG Running | 289
3909 | 3939 | GB5475 | KCUE Running | 4
3909 | 3939 | XU7199 | ERKB Running | 233
3939 | 3943 | MP5810 | KCUE Running | 90
3939 | 3969 | XV8633 | ERKB Running | 234
3943 | 4430 | GB5475 | LHI Running | 170
3957 | 3957 | GU2322 | RQYP Running | 283
3969 | 3999 | XU7199 | ERKB Running | 203
3972 | 3972 | GJ1699 | UGK Running | 103
3973 | 3973 | MP5810 | KCUE Running | 60
3987 | 3987 | GU2322 | RQYP Running | 253
3999 | 4029 | XV8633 | ERKB Running | 204
4003 | 4003 | MP5810 | KCUE Running | 30
4009 | 4075 | XL2603 | UGK Running | 188
4017 | 4017 | GU2322 | RQYP Running | 223
4029 | 4059 | XU7199 | ERKB Running | 173
4033 | 4033 | MP5810 | KCUE Waiting | 159
4034 | 4323 | AD3718 | VWD Running | 338
4039 | 4039 | HH5200 | LHI Waiting | 396
4047 | 4047 | GU2322 | RQYP Running | 193
4059 | 4089 | XV8633 | ERKB Running | 174
4075 | 4075 | GJ1699 | UGK Waiting | 192
4077 | 4077 | GU2322 | RQYP Running | 163
4089 | 4119 | XU7199 | ERKB Running | 143
4104 | 4187 | WC5441 | NVE Running | 261
4107 | 4107 | GU2322 | RQYP Running | 133
4114 | 4187 | SI5540 | KCG Running | 266
4118 | 4118 | RP7698 | ULK Waiting | 459
4119 | 4149 | XV8633 | ERKB Running | 144
4128 | 4453 | XT6977 | KCG Running | 52
4137 | 4137 | GU2322 | RQYP Running | 103
4149 | 4179 | XU7199 | ERKB Running | 113
4167 | 4167 | GU2322 | RQYP Running | 73
4177 | 4177 | CK2402 | CKN Running | 301
4179 | 4209 | XV8633 | ERKB Running | 114
4187 | 4187 | CV9815 | NVE Waiting | 471
4187 | 4187 | LR3134 | IOOQ Running | 153
4192 | 4192 | MP5810 | KCUE Running | 234
4197 | 4197 | GU2322 | RQYP Running | 43
4209 | 4239 | XU7199 | ERKB Running | 83
4217 | 4217 | LR3134 | IOOQ Running | 123
4222 | 4222 | MP5810 | KCUE Running | 204
4227 | 4227 | GU2322 | RQYP Running | 13
