2169 | 2453 | ZU2189 | DXVZ Running | 120
2171 | 2483 | RW1919 | DXVZ Running | 489
2179 | 2179 | IC8069 | ESMH Waiting | 77
2183 | 2331 | XY9223 | BQYR Running | 108
2186 | 2665 | GN4286 | OOAZ Running | 181
2186 | 2513 | ZL9305 | ESMH Running | 322
2195 | 2543 | VZ4334 | ESMH Running | 398
2197 | 2693 | AT4579 | HGFW Running | 16
2197 | 2695 | HB4869 | OOAZ Running | 234
2198 | 2573 | NG9097 | ESMH Running | 7
2199 | 2513 | XI3826 | DXVZ Running | 167
2204 | 2204 | ND2907 | FQU Waiting | 67
2204 | 2709 | YW6909 | HGFW Running | 282
2205 | 2543 | GF8356 | DXVZ Running | 195
2209 | 2580 | IB2245 | ESMH Running | 182
2213 | 2361 | QZ7189 | BQYR Running | 467
2216 | 2573 | GB2251 | DXVZ Running | 210
2219 | 2391 | TN6868 | BQYR Running | 373
2221 | 2221 | FQ9107 | BQYR Waiting | 22
2222 | 2222 | VD8687 | CLP Running | 150
2227 | 2739 | SF3778 | HGFW Running | 9
2227 | 2725 | UB9133 | OOAZ Running | 14
2229 | 2603 | CC5139 | DXVZ Running | 275
2243 | 2243 | EH4550 | DXVZ Waiting | 414
2243 | 2421 | FQ9107 | BQYR Running | 178
2251 | 2451 | NH2676 | BQYR Running | 155
2252 | 2610 | DX4272 | ESMH Running | 406
2256 | 2640 | IC8069 | ESMH Running | 272
2257 | 2748 | AY4830 | HGFW Running | 152
2257 | 2739 | TD6914 | OOAZ Running | 356
2271 | 2271 | ND2907 | FQU Running | 397
2273 | 2481 | ZF5864 | BQYR Running | 166
2273 | 2633 | US8272 | DXVZ Running | 239
2281 | 2511 | NH6242 | BQYR Running | 33
2282 | 2670 | LM3957 | ESMH Running | 67
2287 | 2769 | CF7184 | OOAZ Running | 158
2287 | 2778 | PX2040 | HGFW Running | 286
2288 | 2541 | PJ1199 | BQYR Running | 364
2291 | 2663 | ZR8988 | DXVZ Running | 303
2303 | 2693 | MP8221 | DXVZ Running | 253
2311 | 2571 | VN4012 | BQYR Running | 79
2312 | 2700 | DQ2610 | ESMH Running | 152
2317 | 2799 | NG9020 | OOAZ Running | 437
2317 | 2808 | XF7494 | HGFW Running | 110
2326 | 2326 | AF6242 | DJO Waiting | 357
2331 | 2331 | OO3776 | BQYR Waiting | 22
2333 | 2333 | ZT7628 | HGFW Waiting | 190
2333 | 2723 | XS6670 | DXVZ Running | 406
2340 | 2730 | AB9997 | ESMH Running | 200
2342 | 2760 | TF9145 | ESMH Running | 333
2347 | 2829 | YK3785 | OOAZ Running | 41
2353 | 2601 | OO3776 | BQYR Running | 103
2361 | 2631 | XY9223 | BQYR Running | 78
2362 | 2661 | AE4495 | BQYR Running | 83
2363 | 2753 | GI5277 | DXVZ Running | 247
2363 | 2838 | TL2982 | HGFW Running | 333
2372 | 2372 | VD8687 | CLP Waiting | 139
2372 | 2790 | AC5194 | ESMH Running | 124
2377 | 2859 | IE1748 | OOAZ Running | 83
2379 | 2868 | YO1892 | HGFW Running | 68
2391 | 2691 | QZ7189 | BQYR Running | 437
2393 | 2393 | MJ4305 | ESMH Waiting | 277
2393 | 2783 | SI1629 | DXVZ Running | 353
2393 | 2898 | UD2640 | HGFW Running | 206
2407 | 2889 | BB4270 | OOAZ Running | 370
2421 | 2721 | TN6868 | BQYR Running | 343
2423 | 2813 | BW1558 | DXVZ Running | 58
2423 | 2820 | ER5436 | ESMH Running | 68
2423 | 2928 | NN8794 | HGFW Running | 20
2437 | 2919 | BR3605 | OOAZ Running | 160
2451 | 2751 | FQ9107 | BQYR Running | 148
2453 | 2850 | GN7223 | ESMH Running | 158
2453 | 2843 | LY8535 | DXVZ Running | 68
2453 | 2948 | YM2218 | HGFW Running | 352
2459 | 2781 | XS8911 | BQYR Running | 86
2467 | 2949 | JT3277 | OOAZ Running | 102
2481 | 2811 | NH2676 | BQYR Running | 125
2483 | 2873 | TP5785 | DXVZ Running | 256
