1279 | 1339 | JS9426 | SRBM Running | 145
1297 | 1627 | RR4818 | FFTC Running | 104
1299 | 1449 | RX8056 | FJSX Running | 159
1302 | 1602 | GU6400 | ALIV Running | 167
1303 | 1483 | RH2097 | EOUY Running | 41
1309 | 1369 | AM1241 | SRBM Running | 262
1327 | 1657 | OJ8092 | FFTC Running | 88
1329 | 1479 | IC8737 | FJSX Running | 89
1332 | 1632 | NV1107 | ALIV Running | 256
1333 | 1513 | MS3067 | EOUY Running | 141
1339 | 1399 | UK2328 | SRBM Running | 250
1343 | 1343 | OO8864 | VNG Waiting | 480
1357 | 1687 | DO7856 | FFTC Running | 69
1359 | 1509 | KZ5553 | FJSX Running | 222
1362 | 1662 | VF5011 | ALIV Running | 31
1363 | 1543 | HH7831 | EOUY Running | 380
1369 | 1429 | JS9426 | SRBM Running | 115
1387 | 1717 | NJ8281 | FFTC Running | 225
1389 | 1539 | PS5394 | FJSX Running | 177
1390 | 1747 | RY3354 | FFTC Running | 175
1392 | 1692 | MV9271 | ALIV Running | 192
1393 | 1573 | NN2959 | EOUY Running | 295
1399 | 1459 | AM1241 | SRBM Running | 232
1412 | 1777 | GF3754 | FFTC Running | 338
1417 | 1807 | RE5250 | FFTC Running | 265
1419 | 1569 | LR7917 | FJSX Running | 192
1420 | 1722 | HG3446 | ALIV Running | 41
1422 | 1752 | QL3937 | ALIV Running | 42
1423 | 1603 | BJ4358 | EOUY Running | 123
1424 | 1782 | KN4141 | ALIV Running | 452
1427 | 1812 | RC2143 | ALIV Running | 234
1429 | 1489 | UK2328 | SRBM Running | 220
1447 | 1837 | AB7275 | FFTC Running | 274
1449 | 1599 | MN7646 | FJSX Running | 320
1452 | 1842 | MO4112 | ALIV Running | 69
1453 | 1633 | NJ6254 | EOUY Running | 410
1458 | 1599 | RT4035 | NSI Running | 495
1459 | 1519 | JS9426 | SRBM Running | 85
1477 | 1867 | LQ4176 | FFTC Running | 296
1479 | 1629 | RX8056 | FJSX Running | 129
1482 | 1872 | IK3661 | ALIV Running | 205
1483 | 1663 | RB5112 | EOUY Running | 338
1485 | 1659 | ME1842 | FJSX Running | 404
1489 | 1549 | AM1241 | SRBM Running | 202
1506 | 1902 | RM8150 | ALIV Running | 94
1507 | 1897 | QD3715 | FFTC Running | 249
1509 | 1689 | IC8737 | FJSX Running | 59
1512 | 1932 | HJ9644 | ALIV Running | 31
1513 | 1693 | RH2097 | EOUY Running | 11
