929 | 929 | QU3910 | JVI Waiting | 373
933 | 933 | XD7042 | IYDM Waiting | 468
939 | 939 | SU2343 | QQEK Running | 202
939 | 939 | PG5871 | IUNW Running | 308
940 | 940 | GC9521 | CJTY Running | 122
940 | 940 | QJ4589 | FKIV Running | 115
940 | 940 | QU7673 | XEHG Running | 230
942 | 942 | OZ9719 | XDZS Running | 260
945 | 945 | AR5532 | VATX Running | 107
947 | 947 | LC5212 | DSOT Running | 97
948 | 948 | MU7363 | OOGS Running | 69
950 | 950 | BL5271 | QBNK Running | 104
950 | 980 | QP9398 | COUC Running | 186
951 | 951 | DF5201 | DXEO Running | 110
952 | 952 | FW6957 | WCXY Running | 63
954 | 954 | DD9967 | TCXS Running | 78
969 | 969 | PG5871 | IUNW Running | 278
969 | 969 | SU2343 | QQEK Running | 172
970 | 970 | GC9521 | CJTY Running | 92
970 | 970 | QJ4589 | FKIV Running | 85
970 | 970 | QU7673 | XEHG Running | 200
972 | 972 | OZ9719 | XDZS Running | 230
975 | 975 | AR5532 | VATX Running | 77
977 | 977 | LC5212 | DSOT Running | 67
978 | 978 | MU7363 | OOGS Running | 39
980 | 980 | BL5271 | QBNK Running | 74
980 | 1010 | XO3259 | COUC Running | 404
981 | 981 | DF5201 | DXEO Running | 80
982 | 982 | FW6957 | WCXY Running | 33
984 | 984 | DD9967 | TCXS Running | 48
999 | 999 | HL2348 | XODE Running | 333
999 | 999 | PG5871 | IUNW Running | 248
999 | 999 | SU2343 | QQEK Running | 142
1000 | 1000 | GC9521 | CJTY Running | 62
1000 | 1000 | QJ4589 | FKIV Running | 55
1000 | 1000 | QU7673 | XEHG Running | 170
1002 | 1002 | OZ9719 | XDZS Running | 200
1005 | 1005 | AR5532 | VATX Running | 47
1007 | 1007 | LC5212 | DSOT Running | 37
1008 | 1008 | MU7363 | OOGS Running | 9
1010 | 1010 | BL5271 | QBNK Running | 44
1010 | 1040 | QP9398 | COUC Running | 156
1011 | 1011 | DF5201 | DXEO Running | 50
