3305 | 3305 | VQ3814 | VBQ Waiting | 337
3307 | 3307 | NP7136 | ISBC Running | 101
3321 | 3321 | NR2236 | IJSM Running | 308
3333 | 3363 | TA8105 | QOUU Running | 83
3337 | 3337 | NP7136 | ISBC Running | 71
3346 | 3346 | HS5200 | OAP Waiting | 500
3349 | 3349 | KN3596 | VBQ Running | 466
3351 | 3351 | NR2236 | IJSM Running | 278
3363 | 3393 | LA6163 | QOUU Running | 77
3367 | 3367 | NP7136 | ISBC Running | 41
3381 | 3381 | NR2236 | IJSM Running | 248
3393 | 3423 | TA8105 | QOUU Running | 53
3397 | 3397 | NP7136 | ISBC Running | 11
3408 | 3408 | NP7136 | ISBC Waiting | 171
3411 | 3411 | NR2236 | IJSM Running | 218
3423 | 3453 | LA6163 | QOUU Running | 47
3441 | 3441 | NR2236 | IJSM Running | 188
3453 | 3483 | TA8105 | QOUU Running | 23
3471 | 3471 | NR2236 | IJSM Running | 158
3483 | 3506 | LA6163 | QOUU Running | 17
3501 | 3501 | NR2236 | IJSM Running | 128
3506 | 3506 | TA8105 | OAP Running | 33
3523 | 3523 | LA6163 | QOUU Waiting | 97
3531 | 3531 | NR2236 | IJSM Running | 98
3539 | 3539 | TA8105 | OAP Waiting | 458
3561 | 3561 | NR2236 | IJSM Running | 68
3579 | 3579 | NP7136 | ISBC Running | 69
3591 | 3591 | NR2236 | IJSM Running | 38
3609 | 3609 | NP7136 | ISBC Running | 39
3610 | 3610 | MS3124 | LMZ Waiting | 117
3620 | 3620 | LA6163 | QOUU Running | 167
3621 | 3621 | NR2236 | IJSM Running | 8
3629 | 3629 | NR2236 | MHD Running | 277
3639 | 3639 | NP7136 | ISBC Running | 9
3642 | 3815 | VQ3814 | VBQ Running | 391
3648 | 3648 | NP7136 | ACS Running | 153
3650 | 3650 | LA6163 | QOUU Running | 137
3680 | 3680 | LA6163 | QOUU Running | 107
3710 | 3710 | LA6163 | QOUU Running | 77
3727 | 3995 | MS3124 | LMZ Running | 384
3740 | 3740 | LA6163 | QOUU Running | 47
3770 | 3770 | LA6163 | QOUU Running | 17
3787 | 3787 | LA6163 | RIY Running | 64
3795 | 3795 | BV4449 | LMZ Waiting | 60
3801 | 3801 | NP7136 | ACS Waiting | 4
3805 | 3805 | NP7136 | ACS Running | 257
3815 | 3815 | KN3596 | QOUU Running | 151
3845 | 3845 | KN3596 | QOUU Running | 121
3846 | 3846 | HS5200 | OAP Running | 348
3851 | 3851 | LA6163 | RIY Waiting | 204
3855 | 4379 | BV4449 | LMZ Running | 34
3875 | 3875 | KN3596 | QOUU Running | 91
3905 | 3905 | KN3596 | QOUU Running | 61
3906 | 3906 | NR2236 | MHD Waiting | 279
3935 | 3935 | KN3596 | QOUU Running | 31
3965 | 3965 | KN3596 | QOUU Running | 1
3966 | 3966 | KN3596 | QOUU Waiting | 326
3995 | 3995 | GR6984 | LMZ Waiting | 127
3997 | 4194 | TA8105 | OAP Running | 336
4055 | 4055 | LA6163 | RIY Running | 414
4062 | 4062 | NP7136 | ACS Waiting | 339
4122 | 4413 | GR6984 | LMZ Running | 207
4185 | 4185 | NR2236 | MHD Running | 266
4194 | 4194 | HS5200 | QOUU Running | 150
4206 | 4206 | VQ3814 | VBQ Waiting | 480
4224 | 4224 | HS5200 | QOUU Running | 120
4254 | 4254 | HS5200 | QOUU Running | 90
4284 | 4284 | HS5200 | QOUU Running | 60
4292 | 4314 | KN3596 | QOUU Running | 156
4314 | 4344 | HS5200 | QOUU Running | 30
4344 | 4374 | KN3596 | QOUU Running | 126
4374 | 4374 | HS5200 | QOUU Waiting | 467
4379 | 4379 | MS3124 | LMZ Waiting | 456
4401 | 4401 | NP7136 | ACS Running | 403
4404 | 4404 | KN3596 | QOUU Running | 96
4413 | 4413 | BV4449 | IJSM Running | 133
4434 | 4434 | KN3596 | QOUU Running | 66
4443 | 4443 | BV4449 | IJSM Running | 103
4451 | 4451 | NR2236 | MHD Waiting | 400
4464 | 4464 | KN3596 | QOUU Running | 36
4469 | 4469 | LA6163 | RIY Waiting | 308
4473 | 4473 | BV4449 | IJSM Running | 73
4494 | 4494 | KN3596 | QOUU Running | 6
4500 | 4500 | KN3596 | NIT Running | 335
4503 | 4503 | BV4449 | IJSM Running | 43
4530 | 4530 | TA8105 | OAP Waiting | 74
4533 | 4533 | BV4449 | IJSM Running | 13
4546 | 4546 | BV4449 | IJSM Waiting | 30
4576 | 4576 | BV4449 | IJSM Running | 380
4604 | 4604 | TA8105 | OAP Running | 361
4606 | 4606 | BV4449 | IJSM Running | 350
4620 | 4636 | GR6984 | IJSM Running | 130
4636 | 4666 | BV4449 | IJSM Running | 320
4666 | 4696 | GR6984 | IJSM Running | 100
4686 | 4686 | VQ3814 | VBQ Running | 417
4696 | 4726 | BV4449 | IJSM Running | 290
4726 | 4756 | GR6984 | IJSM Running | 70
4756 | 4786 | BV4449 | IJSM Running | 260
4777 | 4777 | LA6163 | RIY Running | 11
4786 | 4816 | GR6984 | IJSM Running | 40
4788 | 4788 | LA6163 | RIY Waiting | 300
4804 | 4804 | NP7136 | ACS Waiting | 56
4816 | 4846 | BV4449 | IJSM Running | 230
4835 | 4835 | KN3596 | NIT Waiting | 201
4835 | 4835 | MS3124 | LMZ Running | 219
4841 | 4841 | HS5200 | QOUU Running | 341
4846 | 4876 | GR6984 | IJSM Running | 10
4851 | 4851 | NR2236 | MHD Running | 474
4860 | 4860 | NP7136 | ACS Running | 296
4871 | 4871 | HS5200 | QOUU Running | 311
4876 | 4886 | BV4449 | IJSM Running | 200
4886 | 4886 | GR6984 | IJSM Waiting | 187
4901 | 4901 | HS5200 | QOUU Running | 281
4916 | 4916 | BV4449 | IJSM Running | 170
4931 | 4931 | HS5200 | QOUU Running | 251
4946 | 4946 | BV4449 | IJSM Running | 140
4961 | 4961 | HS5200 | QOUU Running | 221
4965 | 4965 | TA8105 | OAP Waiting | 291
4976 | 4976 | BV4449 | IJSM Running | 110
4991 | 4991 | HS5200 | QOUU Running | 191
5006 | 5006 | BV4449 | IJSM Running | 80
5021 | 5021 | HS5200 | QOUU Running | 161
5036 | 5036 | KN3596 | NIT Running | 98
5036 | 5036 | BV4449 | IJSM Running | 50
5051 | 5051 | HS5200 | QOUU Running | 131
5054 | 5066 | MS3124 | IJSM Running | 129
5066 | 5096 | BV4449 | IJSM Running | 20
5073 | 5116 | GR6984 | IJSM Running | 481
5081 | 5081 | HS5200 | QOUU Running | 101
5088 | 5088 | LA6163 | RIY Running | 114
5096 | 5146 | MS3124 | IJSM Running | 99
5103 | 5111 | VQ3814 | QOUU Running | 165
5111 | 5141 | HS5200 | QOUU Running | 71
5116 | 5325 | BV4449 | MHD Running | 13
5134 | 5134 | KN3596 | NIT Waiting | 167
5141 | 5171 | VQ3814 | QOUU Running | 135
5146 | 5176 | GR6984 | IJSM Running | 451
5156 | 5156 | NP7136 | ISBC Running | 342
5171 | 5201 | HS5200 | QOUU Running | 41
5176 | 5206 | MS3124 | IJSM Running | 69
5186 | 5186 | NP7136 | ISBC Running | 312
5201 | 5231 | VQ3814 | QOUU Running | 105
5202 | 5261 | LA6163 | QOUU Running | 284
5206 | 5236 | GR6984 | IJSM Running | 421
5216 | 5216 | NP7136 | ISBC Running | 282
5231 | 5291 | HS5200 | QOUU Running | 11
5236 | 5266 | MS3124 | IJSM Running | 39
5246 | 5246 | NP7136 | ISBC Running | 252
5256 | 5256 | TA8105 | OAP Running | 85
5261 | 5302 | VQ3814 | QOUU Running | 75
5266 | 5296 | GR6984 | IJSM Running | 391
5276 | 5276 | NP7136 | ISBC Running | 222
5291 | 5332 | LA6163 | QOUU Running | 254
5296 | 5326 | MS3124 | IJSM Running | 9
5301 | 5301 | KN3596 | NIT Running | 200
5302 | 5302 | HS5200 | RIY Running | 411
5306 | 5306 | NP7136 | ISBC Running | 192
